Anio,Population,Fertility,Life_Expectancy
1960,16480383,6.807,56.752
1961,16982315,6.801,57.283
1962,17500171,6.779,57.775
1963,18033550,6.736,58.238
1964,18581974,6.668,58.678
1965,19144223,6.567,59.1
1966,19721462,6.425,59.5
1967,20311371,6.246,59.877
1968,20905059,6.034,60.233
1969,21490945,5.797,60.574
1970,22061215,5.548,60.91
1971,22611986,5.3,61.248
1972,23146803,5.067,61.598
1973,23674504,4.857,61.966
1974,24208021,4.675,62.36
1975,24756973,4.523,62.791
1976,25323406,4.396,63.271
1977,25905127,4.284,63.796
1978,26502166,4.177,64.354
1979,27113512,4.071,64.932
1980,27737900,3.965,65.506
1981,28375991,3.855,66.049
1982,29027162,3.744,66.541
1983,29687094,3.634,66.965
1984,30350086,3.526,67.315
1985,31011688,3.42,67.588
1986,31669776,3.32,67.789
1987,32324325,3.227,67.938
1988,32975535,3.142,68.06
1989,33624444,3.065,68.171
1990,34271565,2.994,68.292
1991,34916766,2.927,68.443
1992,35558682,2.86,68.63
1993,36195168,2.794,68.857
1994,36823537,2.727,69.125
1995,37441977,2.66,69.428
1996,38049038,2.596,69.756
1997,38645411,2.535,70.09
1998,39234062,2.481,70.416
1999,39819279,2.432,70.727
2000,40403958,2.389,71.019
2001,40988909,2.349,71.293
2002,41572491,2.311,71.556
2003,42152151,2.274,71.813
2004,42724163,2.236,72.062
2005,43285634,2.197,72.303
2006,43835722,2.157,72.532
2007,44374572,2.118,72.749
2008,44901544,2.08,72.952
2009,45416181,2.044,73.143
2010,45918097,2.01,73.325
2011,46406646,1.978,73.5
2012,46881475,1.948,73.673
2013,47342981,1.921,73.847
2014,47791911,1.897,74.022
2015,48228697,1.874,74.2
2016,48653419,1.853,74.381
